,Year,Country,Rider,Team,Time,Margin,Stages Won,Stages Led,Avg Speed (km/h),Height m,Weight kg,Born,Died
83,1997,Germany,Jan Ullrich,Team Telekom,"100h 30' 35""","+ 9' 09""",2,12.0,39.3,1.83,73,1973-12-02,
84,1998,Italy,Marco Pantani,Mercatone UnoBianchi,"92h 49' 46""","+ 3' 21""",2,7.0,41.7,1.72,57,1970-01-13,2004-02-14
85,2006,Spain,Óscar Pereiro,Caisse d'EpargneIlles Balears,"89h 40' 27""","+ 32""",0,8.0,40.8,1.77,68,1977-08-03,
86,2007,Spain,Alberto Contador,Discovery Channel,"91h 00' 26""","+ 23""",1,4.0,39.2,1.76,62,1982-12-06,
87,2008,Spain,Carlos Sastre,Team CSC,"87h 52' 52""","+ 58""",1,5.0,40.5,1.73,60,1975-04-22,
88,2009,Spain,Alberto Contador,Astana,"85h 48' 35""","+ 4' 11""",2,7.0,40.3,1.76,62,1982-12-06,
89,2010,Luxembourg,Andy Schleck,Team Saxo Bank,"91h 59' 27""","+ 1' 22""",2,12.0,39.6,1.86,68,1985-06-10,
90,2011,Australia,Cadel Evans,BMC Racing Team,"86h 12' 22""","+ 1' 34""",1,2.0,39.8,1.74,64,1977-02-14,
91,2012,Great Britain,Bradley Wiggins,Team Sky,"87h 34' 47""","+ 3' 21""",2,14.0,39.9,1.90,69,1980-04-28,
92,2013,Great Britain,Chris Froome,Team Sky,"83h 56' 20""","+ 4' 20""",3,14.0,40.6,1.86,69,1985-05-20,
93,2014,Italy,Vincenzo Nibali,Astana,"89h 59' 06""","+ 7' 37""",4,19.0,40.7,1.80,65,1984-11-14,
94,2015,Great Britain,Chris Froome,Team Sky,"84h 46' 14""","+ 1' 12""",1,16.0,39.6,1.86,69,1985-05-20,
95,2016,Great Britain,Chris Froome,Team Sky,"89h 04' 48""","+ 4' 05""",2,14.0,39.6,1.86,69,1985-05-20,
96,2017,Great Britain,Chris Froome,Team Sky,"86h 20' 55""","+ 54""",0,15.0,41.0,1.86,69,1985-05-20,
97,2018,Great Britain,Geraint Thomas,Team Sky,"83h 17' 13""","+ 1' 51""",2,11.0,40.2,1.83,71,1986-05-25,
98,2019,Colombia,Egan Bernal,Team Ineos,"82h 57' 00""","+ 1' 11""",0,2.0,40.6,1.75,60,1997-01-13,
99,2020,Slovenia,Tadej Poga?ar,UAE Team Emirates,"87h 20' 13""","+ 59""",3,,39.9,1.77,66,1998-09-21,
100,2021,Slovenia,Tadej Poga?ar,UAE Team Emirates,"82h 56' 36""","+ 5' 20""",3,,41.2,1.77,66,1998-09-21,
101,2022,Denmark,Jonas Vingegaard,Team JumboVisma,"79h 32' 29""","+ 2' 43""",2,,41.8,1.75,60,1996-12-10,
